original_id,original_data_type,title,L1_cluster_id,L1_cluster_title,L2_cluster_id,L2_cluster_title
0,numeric,Numeric: ID 0,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
1,numeric,Numeric: ID 1,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
2,numeric,Numeric: ID 2,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
3,numeric,Numeric: ID 3,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
4,numeric,Numeric: ID 4,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
5,numeric,Numeric: ID 5,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
6,numeric,Numeric: ID 6,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
7,numeric,Numeric: ID 7,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
8,numeric,Numeric: ID 8,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
9,numeric,Numeric: ID 9,7044,"Youngish, Single, Low Tenure Subcribers",7049,"Young, Single, New Customer Retention"
10,numeric,Numeric: ID 10,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
11,numeric,Numeric: ID 11,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
12,numeric,Numeric: ID 12,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
13,numeric,Numeric: ID 13,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
14,numeric,Numeric: ID 14,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
15,numeric,Numeric: ID 15,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
16,numeric,Numeric: ID 16,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
17,numeric,Numeric: ID 17,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
18,numeric,Numeric: ID 18,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
19,numeric,Numeric: ID 19,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
20,numeric,Numeric: ID 20,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
21,numeric,Numeric: ID 21,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
22,numeric,Numeric: ID 22,7045,"Mixed Demographics, Dependents, Moderate Tenure",7048,"Diverse Customer Base, Varying Tenure"
23,numeric,Numeric: ID 23,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
24,numeric,Numeric: ID 24,7046,"Partners, No Dependents, High Tenure",7048,"Diverse Customer Base, Varying Tenure"
25,numeric,Numeric: ID 25,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
26,numeric,Numeric: ID 26,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
27,numeric,Numeric: ID 27,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
28,numeric,Numeric: ID 28,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
29,numeric,Numeric: ID 29,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
30,numeric,Numeric: ID 30,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
31,numeric,Numeric: ID 31,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
32,numeric,Numeric: ID 32,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
33,numeric,Numeric: ID 33,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
34,numeric,Numeric: ID 34,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
35,numeric,Numeric: ID 35,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
36,numeric,Numeric: ID 36,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
37,numeric,Numeric: ID 37,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
38,numeric,Numeric: ID 38,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
39,numeric,Numeric: ID 39,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
40,numeric,Numeric: ID 40,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
41,numeric,Numeric: ID 41,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
42,numeric,Numeric: ID 42,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
43,numeric,Numeric: ID 43,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
44,numeric,Numeric: ID 44,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
45,numeric,Numeric: ID 45,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
46,numeric,Numeric: ID 46,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
47,numeric,Numeric: ID 47,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
48,numeric,Numeric: ID 48,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
49,numeric,Numeric: ID 49,7043,"Young, Single, No Dependents, Low Tenure",7048,"Diverse Customer Base, Varying Tenure"
