Churn Reason,Count
Attitude of service provider,135
Attitude of support person,192
Competitor had better devices,130
Competitor made better offer,140
Competitor offered higher download speeds,189
Competitor offered more data,162
Deceased,6
Don't know,154
Extra data charges,57
Lack of affordable download/upload speed,44
Lack of self-service on Website,88
Limited range of services,44
Long distance charges,44
Moved,53
Network reliability,103
Poor expertise of online support,19
Poor expertise of phone support,20
Price too high,98
Product dissatisfaction,102
Service dissatisfaction,89
