Churn Reason,Count
Competitor offered higher download speeds,179
Attitude of support person,173
Competitor offered more data,151
Don't know,147
Competitor made better offer,126
Attitude of service provider,120
Network reliability,96
Product dissatisfaction,92
Price too high,88
Service dissatisfaction,83
Lack of self-service on Website,83
Extra data charges,55
Moved,50
Long distance charges,41
Limited range of services,40
Lack of affordable download/upload speed,37
Poor expertise of phone support,19
Poor expertise of online support,19
Deceased,6
