Feature,Type,Abs Deviation,Deviation Description
Churn Value,Numerical,72.10,Mean: 0.07 vs Global: 0.27 (-72.10%)
Total Charges,Numerical,70.87,Mean: 665.22 vs Global: 2283.30 (-70.87%)
Monthly Charges,Numerical,67.45,Mean: 21.08 vs Global: 64.76 (-67.45%)
Internet Service = Fiber optic,Categorical,43.96,Cluster: 0.00% vs Global: 43.96% (-43.96pp)
Streaming Movies = Yes,Categorical,38.79,Cluster: 0.00% vs Global: 38.79% (-38.79pp)
Streaming TV = Yes,Categorical,38.44,Cluster: 0.00% vs Global: 38.44% (-38.44pp)
Online Backup = Yes,Categorical,34.49,Cluster: 0.00% vs Global: 34.49% (-34.49pp)
Device Protection = Yes,Categorical,34.39,Cluster: 0.00% vs Global: 34.39% (-34.39pp)
Internet Service = DSL,Categorical,34.37,Cluster: 0.00% vs Global: 34.37% (-34.37pp)
Paperless Billing = Yes,Categorical,30.00,Cluster: 29.23% vs Global: 59.22% (-30.00pp)
Tech Support = Yes,Categorical,29.02,Cluster: 0.00% vs Global: 29.02% (-29.02pp)
Online Security = Yes,Categorical,28.67,Cluster: 0.00% vs Global: 28.67% (-28.67pp)
Payment Method = Mailed check,Categorical,25.67,Cluster: 48.56% vs Global: 22.89% (+25.67pp)
Payment Method = Electronic check,Categorical,25.58,Cluster: 7.99% vs Global: 33.58% (-25.58pp)
Contract = Month-to-month,Categorical,20.68,Cluster: 34.34% vs Global: 55.02% (-20.68pp)
Multiple Lines = Yes,Categorical,19.77,Cluster: 22.41% vs Global: 42.18% (-19.77pp)
Churn Label = Yes,Categorical,19.13,Cluster: 7.40% vs Global: 26.54% (-19.13pp)
Contract = Two year,Categorical,17.74,Cluster: 41.81% vs Global: 24.07% (+17.74pp)
Dependents = Yes,Categorical,13.79,Cluster: 36.89% vs Global: 23.10% (+13.79pp)
Senior Citizen = Yes,Categorical,12.81,Cluster: 3.41% vs Global: 16.21% (-12.81pp)
Churn Score,Numerical,10.15,Mean: 52.74 vs Global: 58.70 (-10.15%)
Phone Service = Yes,Categorical,9.68,Cluster: 100.00% vs Global: 90.32% (+9.68pp)
Tenure Months,Numerical,5.63,Mean: 30.55 vs Global: 32.37 (-5.63%)
Contract = One year,Categorical,2.94,Cluster: 23.85% vs Global: 20.91% (+2.94pp)
Churn Reason = Competitor offered higher download speeds,Categorical,2.16,Cluster: 0.52% vs Global: 2.68% (-2.16pp)
Churn Reason = Don't know,Categorical,1.79,Cluster: 0.39% vs Global: 2.19% (-1.79pp)
Churn Reason = Attitude of service provider,Categorical,1.59,Cluster: 0.33% vs Global: 1.92% (-1.59pp)
Churn Reason = Competitor had better devices,Categorical,1.58,Cluster: 0.26% vs Global: 1.85% (-1.58pp)
Churn Reason = Competitor offered more data,Categorical,1.58,Cluster: 0.72% vs Global: 2.30% (-1.58pp)
Churn Reason = Attitude of support person,Categorical,1.55,Cluster: 1.18% vs Global: 2.73% (-1.55pp)
Churn Reason = Competitor made better offer,Categorical,1.14,Cluster: 0.85% vs Global: 1.99% (-1.14pp)
Churn Reason = Network reliability,Categorical,1.07,Cluster: 0.39% vs Global: 1.46% (-1.07pp)
Churn Reason = Product dissatisfaction,Categorical,1.06,Cluster: 0.39% vs Global: 1.45% (-1.06pp)
Churn Reason = Lack of self-service on Website,Categorical,0.92,Cluster: 0.33% vs Global: 1.25% (-0.92pp)
Churn Reason = Service dissatisfaction,Categorical,0.87,Cluster: 0.39% vs Global: 1.26% (-0.87pp)
Churn Reason = Price too high,Categorical,0.80,Cluster: 0.59% vs Global: 1.39% (-0.80pp)
Churn Reason = Extra data charges,Categorical,0.74,Cluster: 0.07% vs Global: 0.81% (-0.74pp)
CLTV,Numerical,0.59,Mean: 4374.38 vs Global: 4400.30 (-0.59%)
Gender = Female,Categorical,0.57,Cluster: 48.95% vs Global: 49.52% (-0.57pp)
Gender = Male,Categorical,0.57,Cluster: 51.05% vs Global: 50.48% (+0.57pp)
Churn Reason = Long distance charges,Categorical,0.56,Cluster: 0.07% vs Global: 0.62% (-0.56pp)
Churn Reason = Moved,Categorical,0.56,Cluster: 0.20% vs Global: 0.75% (-0.56pp)
Churn Reason = Limited range of services,Categorical,0.36,Cluster: 0.26% vs Global: 0.62% (-0.36pp)
Churn Reason = Poor expertise of online support,Categorical,0.27,Cluster: 0.00% vs Global: 0.27% (-0.27pp)
Churn Reason = Lack of affordable download/upload speed,Categorical,0.23,Cluster: 0.39% vs Global: 0.62% (-0.23pp)
Churn Reason = Poor expertise of phone support,Categorical,0.22,Cluster: 0.07% vs Global: 0.28% (-0.22pp)
Payment Method = Bank transfer (automatic),Categorical,0.17,Cluster: 21.76% vs Global: 21.92% (-0.17pp)
Churn Reason = Deceased,Categorical,0.09,Cluster: 0.00% vs Global: 0.09% (-0.09pp)
Payment Method = Credit card (automatic),Categorical,0.08,Cluster: 21.69% vs Global: 21.61% (+0.08pp)
Partner = Yes,Categorical,0.06,Cluster: 48.36% vs Global: 48.30% (+0.06pp)
