original_id,original_data_type,title,L1_cluster_id,L1_cluster_title,L2_cluster_id,L2_cluster_title
0,numeric,Numeric: ID 0,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
1,numeric,Numeric: ID 1,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
2,numeric,Numeric: ID 2,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
3,numeric,Numeric: ID 3,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
4,numeric,Numeric: ID 4,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
5,numeric,Numeric: ID 5,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
6,numeric,Numeric: ID 6,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
7,numeric,Numeric: ID 7,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
8,numeric,Numeric: ID 8,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
9,numeric,Numeric: ID 9,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
10,numeric,Numeric: ID 10,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
11,numeric,Numeric: ID 11,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
12,numeric,Numeric: ID 12,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
13,numeric,Numeric: ID 13,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
14,numeric,Numeric: ID 14,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
15,numeric,Numeric: ID 15,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
16,numeric,Numeric: ID 16,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
17,numeric,Numeric: ID 17,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
18,numeric,Numeric: ID 18,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
19,numeric,Numeric: ID 19,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
20,numeric,Numeric: ID 20,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
21,numeric,Numeric: ID 21,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
22,numeric,Numeric: ID 22,7045,"Younger, Fewer Partners, Gender Balanced",7048,"Younger, Single Customers: Engagement Focus"
23,numeric,Numeric: ID 23,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
24,numeric,Numeric: ID 24,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
25,numeric,Numeric: ID 25,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
26,numeric,Numeric: ID 26,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
27,numeric,Numeric: ID 27,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
28,numeric,Numeric: ID 28,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
29,numeric,Numeric: ID 29,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
30,numeric,Numeric: ID 30,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
31,numeric,Numeric: ID 31,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
32,numeric,Numeric: ID 32,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
33,numeric,Numeric: ID 33,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
34,numeric,Numeric: ID 34,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
35,numeric,Numeric: ID 35,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
36,numeric,Numeric: ID 36,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
37,numeric,Numeric: ID 37,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
38,numeric,Numeric: ID 38,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
39,numeric,Numeric: ID 39,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
40,numeric,Numeric: ID 40,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
41,numeric,Numeric: ID 41,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
42,numeric,Numeric: ID 42,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
43,numeric,Numeric: ID 43,7043,"Older, Fewer Partners, Gender Skewed",7047,"Diverse Demographics, Average Customer Base"
44,numeric,Numeric: ID 44,7044,"Balanced Demographics, Average Customer",7047,"Diverse Demographics, Average Customer Base"
