Feature,Global %,Cluster 7045 %,Deviation (pp),Absolute Deviation (pp)
Online Backup = No internet service,21.67,100.00,78.33,78.33
Tech Support = No internet service,21.67,100.00,78.33,78.33
Online Security = No internet service,21.67,100.00,78.33,78.33
Streaming Movies = No internet service,21.67,100.00,78.33,78.33
Streaming TV = No internet service,21.67,100.00,78.33,78.33
Device Protection = No internet service,21.67,100.00,78.33,78.33
Internet Service = Fiber optic,43.96,0.00,-43.96,43.96
Streaming Movies = Yes,38.79,0.00,-38.79,38.79
Streaming TV = Yes,38.44,0.00,-38.44,38.44
Online Backup = Yes,34.49,0.00,-34.49,34.49
Device Protection = Yes,34.39,0.00,-34.39,34.39
Internet Service = DSL,34.37,0.00,-34.37,34.37
Paperless Billing = Yes,59.22,29.23,-30.00,30.00
Tech Support = Yes,29.02,0.00,-29.02,29.02
Online Security = Yes,28.67,0.00,-28.67,28.67
Payment Method = Mailed check,22.89,48.56,25.67,25.67
Payment Method = Electronic check,33.58,7.99,-25.58,25.58
Contract = Month-to-month,55.02,34.34,-20.68,20.68
Multiple Lines = Yes,42.18,22.41,-19.77,19.77
Churn Label = Yes,26.54,7.40,-19.13,19.13
Contract = Two year,24.07,41.81,17.74,17.74
Dependents = Yes,23.10,36.89,13.79,13.79
Senior Citizen = Yes,16.21,3.41,-12.81,12.81
Multiple Lines = No phone service,9.68,0.00,-9.68,9.68
Phone Service = Yes,90.32,100.00,9.68,9.68
Contract = One year,20.91,23.85,2.94,2.94
Churn Reason = Competitor offered higher download speeds,2.68,0.52,-2.16,2.16
Churn Reason = Don't know,2.19,0.39,-1.79,1.79
Churn Reason = Attitude of service provider,1.92,0.33,-1.59,1.59
Churn Reason = Competitor had better devices,1.85,0.26,-1.58,1.58
Churn Reason = Competitor offered more data,2.30,0.72,-1.58,1.58
Churn Reason = Attitude of support person,2.73,1.18,-1.55,1.55
Churn Reason = Competitor made better offer,1.99,0.85,-1.14,1.14
Churn Reason = Network reliability,1.46,0.39,-1.07,1.07
Churn Reason = Product dissatisfaction,1.45,0.39,-1.06,1.06
Churn Reason = Lack of self-service on Website,1.25,0.33,-0.92,0.92
Churn Reason = Service dissatisfaction,1.26,0.39,-0.87,0.87
Churn Reason = Price too high,1.39,0.59,-0.80,0.80
Churn Reason = Extra data charges,0.81,0.07,-0.74,0.74
Gender = Female,49.52,48.95,-0.57,0.57
Gender = Male,50.48,51.05,0.57,0.57
Churn Reason = Long distance charges,0.62,0.07,-0.56,0.56
Churn Reason = Moved,0.75,0.20,-0.56,0.56
Churn Reason = Limited range of services,0.62,0.26,-0.36,0.36
Churn Reason = Poor expertise of online support,0.27,0.00,-0.27,0.27
Churn Reason = Lack of affordable download/upload speed,0.62,0.39,-0.23,0.23
Churn Reason = Poor expertise of phone support,0.28,0.07,-0.22,0.22
Payment Method = Bank transfer (automatic),21.92,21.76,-0.17,0.17
Churn Reason = Deceased,0.09,0.00,-0.09,0.09
Payment Method = Credit card (automatic),21.61,21.69,0.08,0.08
Partner = Yes,48.30,48.36,0.06,0.06
