Cluster_ID,Feature,Centroid_Value,Z_Score,Abs_Z_Score
0,Dependents_No,-1.8245,-2.3495,2.3495
0,Dependents_Yes,1.8245,2.3495,2.3495
0,Multiple Lines_Yes,1.1707,2.1617,2.1617
0,Contract_Two year,1.4727,2.0065,2.0065
0,Device Protection_No internet service,1.9014,1.9236,1.9236
0,Streaming Movies_No internet service,1.9014,1.9236,1.9236
0,Streaming TV_No internet service,1.9014,1.9236,1.9236
0,Tech Support_No internet service,1.9014,1.9236,1.9236
0,Online Backup_No internet service,1.9014,1.9236,1.9236
0,Internet Service_No,1.9014,1.9236,1.9236
0,Online Security_No internet service,1.9014,1.9236,1.9236
0,Partner_Yes,0.8207,1.7997,1.7997
0,Partner_No,-0.8207,-1.7997,1.7997
0,Contract_Month-to-month,-1.0753,-1.6357,1.6357
0,Multiple Lines_No,-0.9633,-1.5909,1.5909
0,Online Backup_No,-0.8836,-1.5906,1.5906
0,Online Security_No,-0.9933,-1.5793,1.5793
0,Tech Support_No,-0.9863,-1.5332,1.5332
0,Payment Method_Electronic check,-0.6625,-1.4465,1.4465
0,Device Protection_No,-0.8854,-1.441,1.441
0,Monthly Charges,-1.3247,-1.4047,1.4047
0,CLTV,0.4075,1.3405,1.3405
0,Online Backup_Yes,-0.7256,-1.3274,1.3274
0,Streaming Movies_No,-0.8087,-1.3033,1.3033
0,Streaming TV_No,-0.8148,-1.2964,1.2964
0,Streaming Movies_Yes,-0.7961,-1.2803,1.2803
0,Streaming TV_Yes,-0.7901,-1.2493,1.2493
0,Paperless Billing_Yes,-0.4595,-1.187,1.187
0,Paperless Billing_No,0.4595,1.187,1.187
0,Device Protection_Yes,-0.724,-1.1571,1.1571
0,Tenure Months,0.6669,1.1477,1.1477
0,Internet Service_Fiber optic,-0.8857,-1.0967,1.0967
0,Online Security_Yes,-0.6339,-1.0111,1.0111
1,Dependents_No,-1.8245,-2.3495,2.3495
1,Dependents_Yes,1.8245,2.3495,2.3495
1,Contract_Two year,1.5207,2.0678,2.0678
1,Partner_No,-0.9,-1.9618,1.9618
1,Partner_Yes,0.9,1.9618,1.9618
1,Paperless Billing_Yes,-0.7776,-1.9358,1.9358
1,Paperless Billing_No,0.7776,1.9358,1.9358
1,Internet Service_No,1.9014,1.9236,1.9236
1,Streaming Movies_No internet service,1.9014,1.9236,1.9236
1,Streaming TV_No internet service,1.9014,1.9236,1.9236
1,Tech Support_No internet service,1.9014,1.9236,1.9236
1,Online Backup_No internet service,1.9014,1.9236,1.9236
1,Online Security_No internet service,1.9014,1.9236,1.9236
1,Device Protection_No internet service,1.9014,1.9236,1.9236
1,Payment Method_Credit card (automatic),0.7408,1.7844,1.7844
1,Multiple Lines_No,1.0381,1.7834,1.7834
1,Contract_Month-to-month,-1.0891,-1.654,1.654
1,Online Backup_No,-0.8836,-1.5906,1.5906
1,Monthly Charges,-1.49,-1.5879,1.5879
1,Online Security_No,-0.9933,-1.5793,1.5793
1,Tech Support_No,-0.9863,-1.5332,1.5332
1,Payment Method_Bank transfer (automatic),0.5466,1.5228,1.5228
1,Device Protection_No,-0.8854,-1.441,1.441
1,Multiple Lines_Yes,-0.8542,-1.4153,1.4153
1,Payment Method_Electronic check,-0.6399,-1.403,1.403
1,CLTV,0.4285,1.4023,1.4023
1,Tenure Months,0.8109,1.3477,1.3477
1,Online Backup_Yes,-0.7256,-1.3274,1.3274
1,Streaming Movies_No,-0.8087,-1.3033,1.3033
1,Streaming TV_No,-0.8148,-1.2964,1.2964
1,Streaming Movies_Yes,-0.7961,-1.2803,1.2803
1,Streaming TV_Yes,-0.7901,-1.2493,1.2493
1,Device Protection_Yes,-0.724,-1.1571,1.1571
1,Internet Service_Fiber optic,-0.8857,-1.0967,1.0967
1,Churn Score,-0.4893,-1.0673,1.0673
1,Online Security_Yes,-0.6339,-1.0111,1.0111
2,Payment Method_Credit card (automatic),1.9046,4.3963,4.3963
2,Contract_Two year,1.7763,2.3942,2.3942
2,Online Security_No internet service,1.9014,1.9236,1.9236
2,Streaming Movies_No internet service,1.9014,1.9236,1.9236
2,Streaming TV_No internet service,1.9014,1.9236,1.9236
2,Tech Support_No internet service,1.9014,1.9236,1.9236
2,Device Protection_No internet service,1.9014,1.9236,1.9236
2,Online Backup_No internet service,1.9014,1.9236,1.9236
2,Internet Service_No,1.9014,1.9236,1.9236
2,Contract_Month-to-month,-1.106,-1.6765,1.6765
2,Online Backup_No,-0.8836,-1.5906,1.5906
2,Online Security_No,-0.9933,-1.5793,1.5793
2,Paperless Billing_Yes,-0.6208,-1.5667,1.5667
2,Paperless Billing_No,0.6208,1.5667,1.5667
2,Payment Method_Electronic check,-0.711,-1.5397,1.5397
2,Tech Support_No,-0.9863,-1.5332,1.5332
2,Tenure Months,0.9444,1.5331,1.5331
2,Monthly Charges,-1.4214,-1.5119,1.5119
2,Device Protection_No,-0.8854,-1.441,1.441
2,Online Backup_Yes,-0.7256,-1.3274,1.3274
2,CLTV,0.4003,1.3195,1.3195
2,Streaming Movies_No,-0.8087,-1.3033,1.3033
2,Streaming TV_No,-0.8148,-1.2964,1.2964
2,Streaming Movies_Yes,-0.7961,-1.2803,1.2803
2,Streaming TV_Yes,-0.7901,-1.2493,1.2493
2,Payment Method_Bank transfer (automatic),-0.5299,-1.2234,1.2234
2,Device Protection_Yes,-0.724,-1.1571,1.1571
2,Internet Service_Fiber optic,-0.8857,-1.0967,1.0967
2,Online Security_Yes,-0.6339,-1.0111,1.0111
2,Churn Score,-0.4465,-1.0108,1.0108
3,Payment Method_Bank transfer (automatic),1.7197,4.5152,4.5152
3,Contract_Two year,1.7531,2.3646,2.3646
3,Online Security_No internet service,1.9014,1.9236,1.9236
3,Internet Service_No,1.9014,1.9236,1.9236
3,Streaming Movies_No internet service,1.9014,1.9236,1.9236
3,Streaming TV_No internet service,1.9014,1.9236,1.9236
