Cluster_ID,Feature,Centroid_Value,Z_Score,Abs_Z_Score
0,Total Charges,0.4231,1.3287,1.3287
0,Online Security_Yes,0.379,1.3234,1.3234
0,Tech Support_Yes,0.3746,1.314,1.314
0,Internet Service_DSL,0.3758,1.2301,1.2301
0,Online Backup_Yes,0.3397,1.1608,1.1608
0,Device Protection_Yes,0.3253,1.1315,1.1315
0,Tenure Months,0.29,1.1225,1.1225
0,CLTV,0.1099,1.1184,1.1184
0,Payment Method_Bank transfer (automatic),0.0943,1.0641,1.0641
0,Phone Service_Yes,-0.1329,-1.0418,1.0418
0,Phone Service_No,0.1329,1.0418,1.0418
0,Multiple Lines_No phone service,0.1329,1.0418,1.0418
0,Payment Method_Credit card (automatic),0.0998,1.018,1.018
1,Monthly Charges,-1.451,-1.4142,1.4142
1,Tech Support_No internet service,1.9014,1.4139,1.4139
1,Internet Service_No,1.9014,1.4139,1.4139
1,Streaming Movies_No internet service,1.9014,1.4139,1.4139
1,Streaming TV_No internet service,1.9014,1.4139,1.4139
1,Device Protection_No internet service,1.9014,1.4139,1.4139
1,Online Backup_No internet service,1.9014,1.4139,1.4139
1,Online Security_No internet service,1.9014,1.4139,1.4139
1,Multiple Lines_Yes,-0.3911,-1.4137,1.4137
1,Streaming TV_No,-0.8148,-1.4126,1.4126
1,Streaming Movies_No,-0.8087,-1.4122,1.4122
1,Payment Method_Mailed check,0.6034,1.4118,1.4118
1,Streaming TV_Yes,-0.7901,-1.4076,1.4076
1,Streaming Movies_Yes,-0.7961,-1.407,1.407
1,Multiple Lines_No,0.5804,1.4043,1.4043
1,Device Protection_No,-0.8854,-1.3708,1.3708
1,Online Backup_No,-0.8836,-1.3615,1.3615
1,Paperless Billing_Yes,-0.6228,-1.3597,1.3597
1,Paperless Billing_No,0.6228,1.3597,1.3597
1,Phone Service_No,-0.3274,-1.3491,1.3491
1,Multiple Lines_No phone service,-0.3274,-1.3491,1.3491
1,Phone Service_Yes,0.3274,1.3491,1.3491
1,Tech Support_No,-0.9863,-1.3391,1.3391
1,Online Security_No,-0.9933,-1.337,1.337
1,Internet Service_Fiber optic,-0.8857,-1.336,1.336
1,Device Protection_Yes,-0.724,-1.3005,1.3005
1,Senior Citizen_Yes,-0.3501,-1.2809,1.2809
1,Senior Citizen_No,0.3501,1.2809,1.2809
1,Online Backup_Yes,-0.7256,-1.28,1.28
1,Internet Service_DSL,-0.7237,-1.2193,1.2193
1,Payment Method_Electronic check,-0.5444,-1.1958,1.1958
1,Contract_Two year,0.4445,1.134,1.134
1,Tech Support_Yes,-0.6394,-1.1099,1.1099
1,Dependents_Yes,0.341,1.0989,1.0989
1,Dependents_No,-0.341,-1.0989,1.0989
1,Online Security_Yes,-0.6339,-1.0935,1.0935
1,Total Charges,-0.7042,-1.0837,1.0837
1,Gender_Female,-0.008,-1.069,1.069
1,Gender_Male,0.008,1.069,1.069
1,Contract_Month-to-month,-0.4522,-1.0053,1.0053
2,Churn Reason_Lack of self-service on Website,0.3274,1.4142,1.4142
2,Churn Reason_Service dissatisfaction,0.3293,1.4142,1.4142
