Cluster_ID,Feature,Centroid_Value,Z_Score,Abs_Z_Score
0,Total Charges,0.5288,1.6015,1.6015
0,CLTV,0.1331,1.4081,1.4081
0,Tenure Months,0.3087,1.2865,1.2865
0,Partner_No,-0.1266,-1.2786,1.2786
0,Partner_Yes,0.1266,1.2786,1.2786
0,Payment Method_Bank transfer (automatic),0.1021,1.2384,1.2384
0,Churn Reason_Limited range of services,-0.0793,-1.0838,1.0838
0,Online Backup_Yes,0.3564,1.0646,1.0646
0,Online Security_Yes,0.3673,1.0474,1.0474
0,Payment Method_Credit card (automatic),0.099,1.0411,1.0411
0,Tech Support_Yes,0.3602,1.0207,1.0207
1,Churn Reason_Extra data charges,0.2972,1.731,1.731
1,Churn Reason_Competitor made better offer,0.4049,1.7231,1.7231
1,Churn Reason_Poor expertise of phone support,0.1602,1.7212,1.7212
1,Churn Reason_Attitude of support person,0.4568,1.707,1.707
1,Churn Reason_Price too high,0.3232,1.7043,1.7043
1,Churn Reason_Moved,0.249,1.7033,1.7033
1,Churn Reason_Network reliability,0.3462,1.7012,1.7012
1,Churn Score,1.1039,1.7,1.7
1,Contract_One year,-0.2923,-1.6882,1.6882
1,Churn Reason_Service dissatisfaction,0.3108,1.6875,1.6875
1,Churn Reason_Long distance charges,0.2332,1.6866,1.6866
1,Churn Label_No,-1.6638,-1.6865,1.6865
1,Churn Value,1.6638,1.6865,1.6865
1,Churn Label_Yes,1.6638,1.6865,1.6865
1,Churn Reason__MISSING_,-1.6638,-1.6865,1.6865
1,Churn Reason_Competitor offered higher download speeds,0.4668,1.6815,1.6815
1,Churn Reason_Don't know,0.4246,1.6786,1.6786
1,Churn Reason_Competitor offered more data,0.4151,1.6756,1.6756
1,Churn Reason_Lack of affordable download/upload speed,0.1931,1.6729,1.6729
1,Churn Reason_Lack of self-service on Website,0.3081,1.6713,1.6713
1,Churn Reason_Product dissatisfaction,0.3279,1.6625,1.6625
1,Payment Method_Credit card (automatic),-0.2152,-1.6477,1.6477
1,Churn Reason_Attitude of service provider,0.3805,1.6312,1.6312
