level,cluster_id,feature_name,mean,median,min,max,std,cluster_size
1,0,total_orders,6.016652861938184,5.0,3.0,70.0,3.396644170582221,45878
1,0,avg_days_between_orders,19.102771965282738,19.33333333333333,0.0,30.0,6.888997006884328,45878
1,0,avg_basket_size,10.26437699449455,9.5,1.0,41.66666666666666,4.931136291817681,45878
1,0,reorder_rate,0.22204170359820527,0.2142857142857142,0.0,0.9622641509433962,0.12455583372671265,45878
1,0,total_products_purchased,56.575635380792534,52.0,3.0,232.0,29.45372372925765,45878
1,1,total_orders,8.792764032987497,6.0,3.0,99.0,8.167092515378277,7518
1,1,avg_days_between_orders,18.521387282561406,18.550505050505052,0.0,30.0,7.209874988672835,7518
1,1,avg_basket_size,5.774935502310923,5.184659090909091,1.0,35.666666666666664,3.446868829933811,7518
1,1,reorder_rate,0.2892641670204894,0.2666666666666666,0.0,0.9312169312169312,0.1896541021130874,7518
1,1,total_products_purchased,49.672386272944934,33.0,3.0,568.0,51.110735410420084,7518
1,2,total_orders,18.517499088589137,17.0,3.0,99.0,10.046917100126974,54860
1,2,avg_days_between_orders,12.970720087483866,12.458333333333334,0.6086956521739131,30.0,5.011480990073753,54860
1,2,avg_basket_size,13.467591417467542,12.307692307692308,1.7848101265822784,70.25,6.064930875316621,54860
1,2,reorder_rate,0.5197338585124649,0.5185185185185185,0.0267857142857142,0.931129476584022,0.1377395050576958,54860
1,2,total_products_purchased,212.04301859278164,194.0,32.0,627.0,86.24906224306169,54860
1,3,total_orders,52.342932066696356,48.0,3.0,99.0,21.225662034514034,20211
1,3,avg_days_between_orders,7.102515592332159,6.862745098039215,0.2346938775510204,27.0,2.783674833915454,20211
1,3,avg_basket_size,13.761445937830121,12.555555555555555,1.808080808080808,58.5,6.3061928330928865,20211
1,3,reorder_rate,0.6952933546050865,0.7069271758436945,0.2215189873417721,0.9793103448275862,0.11071513833724372,20211
1,3,total_products_purchased,648.5215476720598,574.0,37.0,3725.0,281.7823042730581,20211
1,4,total_orders,12.681902925104469,8.0,3.0,99.0,12.303256059041857,15555
1,4,avg_days_between_orders,16.12285757248182,15.5,0.0,30.0,7.414771893175029,15555
1,4,avg_basket_size,4.711928211858695,4.0,1.0,27.25,3.0775434955631273,15555
1,4,reorder_rate,0.4986604554235028,0.5,0.0,0.9777777777777776,0.21568730907412498,15555
1,4,total_products_purchased,58.3173256187721,35.0,3.0,681.0,65.01969915413011,15555
1,5,total_orders,11.439524436788597,8.0,3.0,99.0,10.111586475686858,29607
1,5,avg_days_between_orders,15.357099389034019,14.857142857142858,0.0,30.0,6.72453841113908,29607
1,5,avg_basket_size,7.1033003004180655,6.5,1.0,32.666666666666664,3.840284544563066,29607
1,5,reorder_rate,0.4714131330211788,0.4666666666666667,0.0,0.9813084112149532,0.18726781811811513,29607
1,5,total_products_purchased,71.2540615395008,56.0,3.0,614.0,56.92482118520239,29607
1,6,total_orders,8.07268262737876,6.0,3.0,99.0,6.406397124051941,32580
1,6,avg_days_between_orders,17.19123284845337,17.125,0.0,30.0,6.988444709878149,32580
1,6,avg_basket_size,7.281014537285935,6.75,1.0,32.333333333333336,3.8078022395678928,32580
1,6,reorder_rate,0.3834624701678788,0.375,0.0,0.9895287958115184,0.1801157432035775,32580
1,6,total_products_purchased,52.4487722529159,45.0,3.0,426.0,35.66915513465317,32580
