Cluster_ID,Feature,Centroid_Value,Z_Score,Abs_Z_Score
0,Country_Spain,-0.0015,1.9988,1.9988
0,ExplorationTendency,0.2061,1.857,1.857
0,Country_United Kingdom,0.3043,1.6234,1.6234
0,PurchaseSpan,-0.8208,-1.4178,1.4178
0,StdDaysBetweenOrders,-0.5238,-1.2092,1.2092
0,AvgDaysBetweenOrders,-0.5035,-1.1863,1.1863
0,Recency,0.4542,1.1256,1.1256
0,PreferredDayOfWeek,0.019,1.0652,1.0652
1,Frequency,9.2773,3.4554,3.4554
1,UniqueProducts,7.48,3.4342,3.4342
1,PurchaseSpan,1.6073,2.63,2.63
1,Monetary,11.8394,2.1643,2.1643
1,Recency,-0.8533,-2.0707,2.0707
1,TotalItems,11.6181,1.9629,1.9629
1,ExplorationTendency,-0.8512,-1.7461,1.7461
1,AvgDaysBetweenOrders,-0.6476,-1.5578,1.5578
1,PreferredDayOfWeek,-0.4641,-1.536,1.536
1,Country_United Kingdom,-0.5208,1.0637,1.0637
2,Country_Spain,0.0202,2.6529,2.6529
2,StdDaysBetweenOrders,0.6423,2.4907,2.4907
2,AvgDaysBetweenOrders,0.6172,1.703,1.703
2,Country_United Kingdom,0.2983,1.6193,1.6193
2,PurchaseSpan,0.9736,1.5735,1.5735
2,Recency,-0.5431,-1.3125,1.3125
2,PreferredDayOfWeek,0.0137,1.0366,1.0366
3,Country_Portugal,15.0787,3.4641,3.4641
4,AvgBasketSize,43.0691,3.4636,3.4636
4,AvgOrderValue,44.7026,3.4631,3.4631
4,PreferredHour,-1.2913,-2.7197,2.7197
4,TotalItems,15.116,2.6802,2.6802
4,AvgUnitPrice,-0.0911,-2.6054,2.6054
4,Monetary,13.4385,2.5143,2.5143
4,AvgDaysBetweenOrders,0.8655,2.3431,2.3431
4,ExplorationTendency,-1.0069,-2.2768,2.2768
4,PreferredDayOfWeek,-0.5657,-2.0832,2.0832
4,Recency,0.7098,1.7504,1.7504
4,Country_United Kingdom,0.3265,1.6384,1.6384
4,StdDaysBetweenOrders,-0.6023,-1.4585,1.4585
5,Country_Belgium,13.4086,3.4641,3.4641
5,PreferredDayOfWeek,0.0665,1.3212,1.3212
6,Country_Germany,6.7201,3.4641,3.4641
7,Country_Other,6.2296,3.3571,3.3571
8,Country_Finland,18.989,3.4641,3.4641
8,AvgUnitPrice,0.058,1.5402,1.5402
9,Country_France,6.991,3.4641,3.4641
10,Country_Switzerland,14.6952,3.4641,3.4641
11,Country_Norway,20.8062,3.4641,3.4641
11,PreferredHour,0.3055,1.312,1.312
11,AvgUnitPrice,0.0484,1.2733,1.2733
11,StdDaysBetweenOrders,0.2361,1.2018,1.2018
12,Country_Italy,17.5764,3.4641,3.4641
12,PreferredHour,0.3117,1.3276,1.3276
