Cluster_ID,Feature,Centroid_Value,Z_Score,Abs_Z_Score
0,Recency,0.4221,1.0,1.0
0,Frequency,-0.2958,-1.0,1.0
0,Country_Switzerland,0.0502,1.0,1.0
0,Country_Spain,0.0605,1.0,1.0
0,Country_Portugal,0.0489,1.0,1.0
0,Country_Other,0.1081,1.0,1.0
0,Country_Norway,0.0354,1.0,1.0
0,Country_Italy,0.0419,1.0,1.0
0,Country_Germany,0.1097,1.0,1.0
0,Country_France,0.1054,1.0,1.0
0,Country_Finland,0.0388,1.0,1.0
0,Country_Belgium,0.055,1.0,1.0
0,ExplorationTendency,0.1321,1.0,1.0
0,Country_United Kingdom,-0.2352,-1.0,1.0
0,AvgUnitPrice,0.0218,1.0,1.0
0,PreferredHour,0.0227,1.0,1.0
0,PreferredDayOfWeek,-0.0001,1.0,1.0
0,StdDaysBetweenOrders,-0.4493,-1.0,1.0
0,AvgDaysBetweenOrders,-0.4563,-1.0,1.0
0,AvgOrderValue,-0.0228,-1.0,1.0
0,AvgBasketSize,-0.0235,-1.0,1.0
0,PurchaseSpan,-0.7044,-1.0,1.0
0,UniqueProducts,-0.3126,-1.0,1.0
0,TotalItems,-0.1439,-1.0,1.0
0,Monetary,-0.1367,-1.0,1.0
1,Recency,-0.5054,-1.0,1.0
1,Frequency,0.4049,1.0,1.0
1,Country_Switzerland,-0.068,-1.0,1.0
1,Country_Spain,-0.082,-1.0,1.0
1,Country_Portugal,-0.0663,-1.0,1.0
1,Country_Other,-0.1466,-1.0,1.0
1,Country_Norway,-0.0481,-1.0,1.0
1,Country_Italy,-0.0569,-1.0,1.0
1,Country_Germany,-0.1488,-1.0,1.0
1,Country_France,-0.143,-1.0,1.0
1,Country_Finland,-0.0527,-1.0,1.0
1,Country_Belgium,-0.0746,-1.0,1.0
1,ExplorationTendency,-0.1894,-1.0,1.0
1,Country_United Kingdom,0.3191,1.0,1.0
1,AvgUnitPrice,-0.0302,-1.0,1.0
1,PreferredHour,-0.0283,-1.0,1.0
1,PreferredDayOfWeek,-0.0123,-1.0,1.0
1,StdDaysBetweenOrders,0.6039,1.0,1.0
1,AvgDaysBetweenOrders,0.6283,1.0,1.0
1,AvgOrderValue,0.03,1.0,1.0
1,AvgBasketSize,0.0306,1.0,1.0
1,PurchaseSpan,0.9652,1.0,1.0
1,UniqueProducts,0.4237,1.0,1.0
1,TotalItems,0.1963,1.0,1.0
1,Monetary,0.1865,1.0,1.0
